Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300560.0458872,35.61328125,27.7734375,43.62,0.22,191,225
1732300560.0962114,35.61328125,27.7734375,43.67,0.22,191,225
1732300560.1463768,35.61328125,27.7734375,43.72,0.22,191,225
1732300560.196591,35.61328125,27.7734375,43.77,0.22,191,225
1732300560.2466104,35.61328125,27.7734375,43.83,0.22,191,225
1732300560.2967548,35.61328125,27.7734375,43.87,0.22,191,225
1732300560.346783,35.61328125,27.7734375,43.93,0.22,191,225
1732300560.396913,35.61328125,27.7734375,43.98,0.22,191,225
1732300560.446988,35.61328125,27.7734375,44.03,0.22,191,225
1732300560.497134,35.61328125,27.7734375,44.08,0.22,191,226
1732300560.5472229,35.61328125,27.7734375,44.13,0.22,191,226
1732300560.5973046,35.61328125,27.7734375,44.18,0.22,191,226
1732300560.6473897,35.61328125,27.7734375,44.23,0.22,191,226
1732300560.6974535,35.61328125,27.7734375,44.28,0.22,191,226
1732300560.7475789,35.61328125,27.7734375,44.33,0.22,191,228
1732300560.7977536,35.61328125,27.7734375,44.38,0.22,191,228
1732300560.8478515,35.61328125,27.7734375,44.43,0.22,191,228
1732300560.8979673,35.61328125,27.7734375,44.48,0.22,191,228
1732300560.948056,35.61328125,27.7734375,44.53,0.22,191,228
1732300560.998191,35.61328125,27.7734375,44.58,0.22,191,228
1732300561.0482967,35.61328125,27.7734375,44.63,0.22,191,228
1732300561.0984821,35.61328125,27.7734375,44.68,0.22,191,228
1732300561.148684,35.61328125,27.7734375,44.73,0.22,191,228
1732300561.198684,35.61328125,27.7734375,44.78,0.22,191,233
1732300561.2488103,35.61328125,27.7734375,44.83,0.22,191,233
1732300561.2988539,35.61328125,27.7734375,44.88,0.22,191,233
1732300561.349006,35.61328125,27.7734375,44.93,0.22,191,233
1732300561.3990827,35.61328125,27.7734375,44.98,0.22,191,233
1732300561.4491844,35.61328125,27.7734375,45.03,0.22,191,233
1732300561.499303,35.61328125,27.7734375,45.08,0.22,191,234
1732300561.549442,35.61328125,27.7734375,45.13,0.23,191,236
1732300561.5996292,35.61328125,27.7734375,45.18,0.23,191,252
1732300561.649709,35.61328125,27.7734375,45.22,0.23,191,272
1732300561.699882,35.61328125,27.7734375,45.27,0.23,191,294
1732300561.7498553,35.61328125,27.7734375,45.32,0.23,191,296
1732300561.800038,35.61328125,27.7734375,45.36,0.23,191,297
1732300561.8501377,35.61328125,27.7734375,45.42,0.23,191,297
1732300561.900252,35.61328125,27.7734375,45.46,0.23,191,299
1732300561.9503922,35.61328125,27.7734375,45.52,0.23,191,299
1732300562.000476,35.61328125,27.7734375,45.56,0.23,191,299
1732300562.0505865,35.61328125,27.7734375,45.61,0.23,191,299
1732300562.1008089,35.61328125,27.7734375,45.66,0.23,191,299
1732300562.1508076,35.61328125,27.7734375,45.71,0.23,191,300
1732300562.2009702,35.61328125,27.7734375,45.76,0.23,191,300
1732300562.2510626,35.61328125,27.7734375,45.81,0.23,191,300
1732300562.3011372,35.61328125,27.7734375,45.86,0.23,191,300
1732300562.3512466,35.61328125,27.7734375,45.91,0.23,191,300
1732300562.4013658,35.61328125,27.7734375,45.97,0.23,191,300
1732300562.4514804,35.61328125,27.7734375,46.01,0.23,191,300
1732300562.5015614,35.61328125,27.7734375,46.07,0.23,191,302
1732300562.551718,35.61328125,27.7734375,46.11,0.23,191,302
1732300562.601793,35.61328125,27.7734375,46.17,0.23,191,302
1732300562.651855,35.61328125,27.7734375,46.21,0.23,191,302
1732300562.7019746,35.61328125,27.7734375,46.27,0.23,191,302
1732300562.7520475,35.61328125,27.7734375,46.31,0.23,191,302
1732300562.8023164,35.61328125,27.7734375,46.37,0.23,191,302
1732300562.8522906,35.61328125,27.7734375,46.41,0.23,191,302
1732300562.9024277,35.61328125,27.7734375,46.47,0.23,191,303
1732300562.952502,35.61328125,27.7734375,46.51,0.23,191,303
1732300563.0026042,35.61328125,27.7734375,46.57,0.23,191,303
1732300563.0527537,35.61328125,27.7734375,46.61,0.23,191,303
1732300563.1028223,35.61328125,27.7734375,46.66,0.23,191,303
1732300563.1529953,35.61328125,27.7734375,46.71,0.24,191,303
1732300563.2030418,35.61328125,27.7734375,46.76,0.24,191,303
1732300563.2531357,35.61328125,27.7734375,46.81,0.24,191,304
1732300563.303251,35.61328125,27.7734375,46.86,0.24,191,304
1732300563.3533385,35.61328125,27.7734375,46.91,0.24,191,304
1732300563.4034777,35.61328125,27.7734375,46.96,0.24,191,304
1732300563.4535835,35.61328125,27.7734375,47.01,0.24,191,304
1732300563.5037081,35.61328125,27.7734375,47.06,0.24,191,305
1732300563.5538516,35.61328125,27.7734375,47.11,0.24,191,305
1732300563.6039658,35.61328125,27.7734375,47.16,0.24,191,305
1732300563.6540546,35.61328125,27.7734375,47.21,0.24,191,305
1732300563.7041287,35.61328125,27.7734375,47.26,0.24,191,305
1732300563.7542052,35.61328125,27.7734375,47.31,0.24,191,305
1732300563.8043542,35.61328125,27.7734375,47.36,0.24,191,305
1732300563.8545258,35.61328125,27.7734375,47.41,0.24,191,305
