Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300653.879084,36.875,28.828125,4.3,0.33,3249,1944
1732300653.9294713,36.875,28.828125,4.3,0.34,3253,1944
1732300653.9795663,36.875,28.828125,4.3,0.34,3256,1944
1732300654.0297718,36.875,28.828125,4.31,0.35,3260,1945
1732300654.0800307,36.875,28.828125,4.32,0.35,3263,1945
1732300654.1301591,36.875,28.828125,4.32,0.35,3267,1947
1732300654.180159,36.875,28.828125,4.33,0.35,3271,1951
1732300654.230497,36.875,28.828125,4.33,0.35,3275,1951
1732300654.2805178,36.875,28.828125,4.34,0.35,3280,1951
1732300654.3306553,36.875,28.828125,4.35,0.35,3284,1956
1732300654.3808491,36.875,28.828125,4.36,0.35,3289,1961
1732300654.4310684,36.875,28.828125,4.36,0.35,3293,1963
1732300654.4813347,36.875,28.828125,4.37,0.35,3296,1963
1732300654.53139,36.875,28.828125,4.37,0.35,3300,1963
1732300654.5815153,36.875,28.828125,4.38,0.35,3304,1963
1732300654.6315362,36.875,28.828125,4.38,0.35,3308,1963
1732300654.6817474,36.875,28.828125,4.39,0.35,3312,1963
1732300654.7318225,36.875,28.828125,4.39,0.36,3316,1963
1732300654.7824588,36.875,28.828125,4.4,0.36,3320,1965
1732300654.832234,36.875,28.828125,4.4,0.36,3324,1966
1732300654.8825755,36.875,28.828125,4.41,0.36,3329,1966
1732300654.9324386,36.875,28.828125,4.41,0.36,3333,1967
1732300654.9825525,36.875,28.828125,4.42,0.36,3337,1967
1732300655.0328882,36.875,28.828125,4.43,0.36,3340,1967
1732300655.0830913,36.875,28.828125,4.43,0.36,3344,1967
1732300655.132905,36.875,28.828125,4.44,0.36,3349,1969
1732300655.182985,36.875,28.828125,4.45,0.36,3353,1969
1732300655.233726,36.875,28.828125,4.45,0.36,3357,1971
1732300655.2833815,36.875,28.828125,4.46,0.36,3367,1971
1732300655.333824,36.875,28.828125,4.46,0.36,3371,1971
1732300655.3840127,36.875,28.828125,4.47,0.36,3375,1971
1732300655.4341218,36.875,28.828125,4.48,0.36,3379,1972
1732300655.4841657,36.875,28.828125,4.48,0.36,3383,1974
1732300655.5351603,36.875,28.828125,4.49,0.36,3388,1975
1732300655.5843909,36.875,28.828125,4.5,0.36,3392,1976
1732300655.6346214,36.875,28.828125,4.5,0.36,3396,1976
1732300655.684794,36.875,28.828125,4.51,0.36,3400,1976
1732300655.7351024,36.875,28.828125,4.52,0.36,3404,1977
1732300655.7850208,36.875,28.828125,4.53,0.36,3409,1977
1732300655.8353665,36.875,28.828125,4.53,0.36,3413,1977
1732300655.8859782,36.875,28.828125,4.54,0.37,3417,1977
1732300655.935356,36.875,28.828125,4.54,0.37,3421,1977
1732300655.9854968,36.875,28.828125,4.55,0.37,3425,1979
1732300656.035604,36.875,28.828125,4.56,0.37,3429,1979
1732300656.086359,36.875,28.828125,4.56,0.37,3433,1980
1732300656.1360133,36.875,28.828125,4.57,0.37,3437,1980
1732300656.1861203,36.875,28.828125,4.57,0.37,3441,1980
1732300656.2363014,36.875,28.828125,4.58,0.37,3445,1980
1732300656.286377,36.875,28.828125,4.59,0.37,3456,1980
1732300656.3364801,36.875,28.828125,4.6,0.37,3461,1980
1732300656.3865678,36.875,28.828125,4.6,0.37,3465,1980
1732300656.4368443,36.875,28.828125,4.61,0.37,3469,1980
1732300656.4867544,36.875,28.828125,4.61,0.37,3472,1984
1732300656.5370743,36.875,28.828125,4.62,0.37,3475,1984
1732300656.5869882,36.875,28.828125,4.63,0.37,3480,1984
1732300656.6374488,36.875,28.828125,4.63,0.37,3484,1985
1732300656.6873167,36.875,28.828125,4.64,0.37,3488,1985
1732300656.7374163,36.875,28.828125,4.65,0.37,3492,1985
1732300656.7875543,36.875,28.828125,4.65,0.37,3496,1987
1732300656.8379653,36.875,28.828125,4.66,0.38,3500,1988
1732300656.8880978,36.875,28.828125,4.66,0.38,3505,1990
1732300656.9380996,36.875,28.828125,4.67,0.38,3509,1991
1732300656.988376,36.875,28.828125,4.68,0.38,3513,1991
1732300657.038437,36.875,28.828125,4.69,0.38,3517,1991
1732300657.0886319,36.875,28.828125,4.69,0.38,3521,1991
1732300657.1387737,36.875,28.828125,4.7,0.38,3525,1992
1732300657.189009,36.875,28.828125,4.7,0.38,3529,1993
1732300657.23896,36.875,28.828125,4.71,0.38,3533,1999
1732300657.2891312,36.875,28.828125,4.72,0.38,3537,1999
1732300657.339232,36.875,28.828125,4.72,0.38,3541,1999
1732300657.3893788,36.875,28.828125,4.73,0.38,3545,2003
1732300657.4394786,36.875,28.828125,4.74,0.38,3550,2006
1732300657.489582,36.875,28.828125,4.74,0.38,3554,2006
1732300657.5397823,36.875,28.828125,4.75,0.38,3557,2009
1732300657.5897844,36.875,28.828125,4.75,0.38,3561,2014
1732300657.6398444,36.875,28.828125,4.76,0.38,3565,2017
1732300657.6899667,36.875,28.828125,4.77,0.39,3569,2021
1732300657.740012,36.875,28.828125,4.77,0.39,3572,2024
1732300657.7901196,36.875,28.828125,4.78,0.39,3576,2024
1732300657.8404555,36.875,28.828125,4.78,0.39,3580,2024
1732300657.8905718,36.875,28.828125,4.79,0.39,3584,2024
1732300657.940473,36.875,28.828125,4.79,0.39,3588,2024
1732300657.990648,36.875,28.828125,4.8,0.39,3592,2026
1732300658.0408285,36.875,28.828125,4.81,0.39,3596,2027
1732300658.0909839,36.875,28.828125,4.81,0.39,3599,2027
1732300658.1411476,36.875,28.828125,4.82,0.39,3604,2032
1732300658.1913104,36.875,28.828125,4.82,0.39,3607,2033
1732300658.2420616,36.875,28.828125,4.83,0.39,3611,2034
1732300658.2916365,36.875,28.828125,4.84,0.39,3616,2035
1732300658.341774,36.875,28.828125,4.84,0.39,3619,2035
