Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300395.6195223,9.78515625,7.06640625,0.17,0.37,9738,93
1732300395.6699667,9.78515625,7.06640625,0.17,0.37,9748,93
1732300395.7201505,9.78515625,7.06640625,0.17,0.37,9757,93
1732300395.7702308,9.78515625,7.06640625,0.17,0.37,9767,93
1732300395.8203328,9.78515625,7.06640625,0.17,0.37,9777,95
1732300395.8705068,9.78515625,7.06640625,0.17,0.37,9787,96
1732300395.9206638,9.78515625,7.06640625,0.17,0.37,9797,97
1732300395.9706671,9.78515625,7.06640625,0.17,0.37,9807,97
1732300396.0209548,9.78515625,7.06640625,0.17,0.37,9816,97
1732300396.0710547,9.78515625,7.06640625,0.17,0.37,9826,97
1732300396.1211958,9.78515625,7.06640625,0.17,0.37,9836,97
1732300396.1713324,9.78515625,7.06640625,0.17,0.37,9846,97
1732300396.221379,9.78515625,7.06640625,0.17,0.37,9856,97
1732300396.2714188,9.78515625,7.06640625,0.17,0.37,9866,98
1732300396.3215256,9.78515625,7.06640625,0.17,0.37,9876,98
1732300396.3717175,9.78515625,7.06640625,0.17,0.37,9885,98
1732300396.4218652,9.78515625,7.06640625,0.17,0.37,9895,98
1732300396.4720154,9.78515625,7.06640625,0.17,0.37,9905,98
1732300396.5221968,9.78515625,7.06640625,0.17,0.37,9915,98
1732300396.5722773,9.78515625,7.06640625,0.17,0.37,9925,98
1732300396.6224346,9.78515625,7.06640625,0.17,0.37,9935,98
1732300396.6724737,9.78515625,7.06640625,0.17,0.37,9945,98
1732300396.7226572,9.78515625,7.06640625,0.17,0.37,9954,98
1732300396.7727654,9.78515625,7.06640625,0.17,0.37,9964,98
1732300396.822881,9.78515625,7.06640625,0.17,0.37,9974,98
1732300396.873051,9.78515625,7.06640625,0.17,0.37,9984,98
1732300396.9231734,9.78515625,7.06640625,0.17,0.37,9994,98
1732300396.9732828,9.78515625,7.06640625,0.17,0.37,10004,98
