Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300214.862916,8.87890625,6.92578125,2.19,0.45,7210,806
1732300214.9132257,8.87890625,6.92578125,2.19,0.45,7210,806
1732300214.9636033,8.87890625,6.92578125,2.19,0.45,7211,806
1732300215.013624,8.87890625,6.92578125,2.19,0.45,7211,806
1732300215.0636072,8.87890625,6.92578125,2.19,0.45,7212,806
1732300215.1139207,8.87890625,6.92578125,2.19,0.45,7212,806
1732300215.1641078,8.87890625,6.92578125,2.19,0.45,7213,806
1732300215.2141132,8.87890625,6.92578125,2.19,0.45,7213,806
1732300215.264144,8.87890625,6.92578125,2.19,0.45,7214,806
1732300215.3144732,8.87890625,6.92578125,2.19,0.45,7214,806
1732300215.3644826,8.87890625,6.92578125,2.19,0.45,7215,806
1732300215.4146614,8.87890625,6.92578125,2.19,0.45,7215,806
1732300215.4646516,8.87890625,6.92578125,2.19,0.45,7216,806
1732300215.5154383,8.87890625,6.92578125,2.19,0.45,7216,806
1732300215.5649936,8.87890625,6.92578125,2.19,0.45,7217,806
1732300215.6151624,8.87890625,6.92578125,2.19,0.45,7217,806
1732300215.6656537,8.87890625,6.92578125,2.19,0.45,7218,806
1732300215.7159445,8.87890625,6.92578125,2.19,0.45,7218,806
1732300215.7658076,8.87890625,6.92578125,2.19,0.45,7219,806
1732300215.8159,8.87890625,6.92578125,2.19,0.45,7219,806
1732300215.8660126,8.87890625,6.92578125,2.19,0.45,7220,806
1732300215.9163046,8.87890625,6.92578125,2.19,0.45,7220,806
1732300215.9664297,8.87890625,6.92578125,2.19,0.45,7221,806
1732300216.016813,8.87890625,6.92578125,2.19,0.45,7221,806
1732300216.0669873,8.87890625,6.92578125,2.19,0.45,7222,806
1732300216.1170433,8.87890625,6.92578125,2.19,0.45,7222,806
1732300216.1671212,8.87890625,6.92578125,2.19,0.45,7223,806
1732300216.2172868,8.87890625,6.92578125,2.19,0.45,7223,806
1732300216.2671657,8.87890625,6.92578125,2.19,0.45,7224,806
1732300216.3173003,8.87890625,6.92578125,2.19,0.45,7224,806
1732300216.3673966,8.87890625,6.92578125,2.19,0.45,7225,806
1732300216.4173803,8.87890625,6.92578125,2.19,0.45,7225,806
1732300216.4675608,8.87890625,6.92578125,2.19,0.45,7226,806
1732300216.5175712,8.87890625,6.92578125,2.19,0.45,7226,806
1732300216.5679233,8.87890625,6.92578125,2.19,0.45,7227,806
1732300216.6178603,8.87890625,6.92578125,2.19,0.45,7227,806
1732300216.668135,8.87890625,6.92578125,2.19,0.45,7228,806
1732300216.718176,8.87890625,6.92578125,2.19,0.45,7228,806
1732300216.768308,8.87890625,6.92578125,2.19,0.45,7229,806
1732300216.8184185,8.87890625,6.92578125,2.19,0.45,7229,806
1732300216.868696,8.87890625,6.92578125,2.19,0.45,7230,806
1732300216.9186094,8.87890625,6.92578125,2.19,0.45,7230,806
1732300216.9689538,8.87890625,6.92578125,2.19,0.45,7231,806
