Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1744826002.613978,7.53515625,5.48828125,2.18,5.95,586118,294
1744826002.6644824,7.53515625,5.48828125,2.18,5.95,586515,295
1744826002.7145007,7.53515625,5.48828125,2.18,5.96,586915,296
1744826002.7646677,7.53515625,5.48828125,2.18,5.96,587309,296
1744826002.8148556,7.53515625,5.48828125,2.19,5.96,587718,296
1744826002.8649123,7.53515625,5.48828125,2.19,5.97,588109,296
1744826002.9150264,7.53515625,5.48828125,2.19,5.97,588514,296
1744826002.9651105,7.53515625,5.48828125,2.19,5.98,588914,297
1744826003.0153372,7.53515625,5.48828125,2.2,5.98,589320,297
1744826003.065556,7.53515625,5.48828125,2.2,5.98,589721,297
1744826003.1155617,7.53515625,5.48828125,2.2,5.98,590104,297
1744826003.1664846,7.53515625,5.48828125,2.2,5.99,590507,297
1744826003.2159157,7.53515625,5.48828125,2.2,6.0,590887,298
1744826003.266659,7.53515625,5.48828125,2.2,6.0,591278,298
1744826003.3165348,7.53515625,5.48828125,2.21,6.01,591658,298
1744826003.3668125,7.53515625,5.48828125,2.21,6.01,592054,298
1744826003.4168675,7.53515625,5.48828125,2.21,6.02,592454,298
1744826003.4672792,7.53515625,5.48828125,2.21,6.02,592858,298
1744826003.5172198,7.53515625,5.48828125,2.21,6.02,593254,298
1744826003.567438,7.53515625,5.48828125,2.22,6.02,593660,298
1744826003.6174262,7.53515625,5.48828125,2.22,6.02,594061,300
1744826003.6676655,7.53515625,5.48828125,2.22,6.03,594446,300
1744826003.717685,7.53515625,5.48828125,2.22,6.04,594840,300
1744826003.7679646,7.53515625,5.48828125,2.22,6.04,595241,301
1744826003.818017,7.53515625,5.48828125,2.22,6.05,595625,301
1744826003.868293,7.53515625,5.48828125,2.23,6.05,596013,301
1744826003.9183462,7.53515625,5.48828125,2.23,6.05,596409,301
1744826003.96842,7.53515625,5.48828125,2.23,6.06,596806,301
1744826004.0186791,7.53515625,5.48828125,2.23,6.07,597203,301
1744826004.0687692,7.53515625,5.48828125,2.23,6.07,597603,301
1744826004.1188726,7.53515625,5.48828125,2.23,6.07,598011,301
1744826004.1688755,7.53515625,5.48828125,2.23,6.08,598407,301
1744826004.2190104,7.53515625,5.48828125,2.23,6.09,598798,301
1744826004.269262,7.53515625,5.48828125,2.23,6.09,599193,303
1744826004.3200862,7.53515625,5.48828125,2.23,6.1,599580,308
1744826004.3693986,7.53515625,5.48828125,2.23,6.11,599973,309
